env,method,run,env_steps,return
atari_alien,dreamerv2,atari_alien_nosched_0,184000000.0,3070.0
atari_alien,dreamerv2,atari_alien_nosched_0,185000000.0,3270.0
atari_alien,dreamerv2,atari_alien_nosched_0,186000000.0,2667.0
atari_alien,dreamerv2,atari_alien_nosched_0,187000000.0,3617.0
atari_alien,dreamerv2,atari_alien_nosched_0,188000000.0,3820.0
atari_alien,dreamerv2,atari_alien_nosched_0,189000000.0,3669.0
atari_alien,dreamerv2,atari_alien_nosched_0,190000000.0,3699.0
atari_alien,dreamerv2,atari_alien_nosched_0,191000000.0,3356.0
atari_alien,dreamerv2,atari_alien_nosched_0,192000000.0,4019.0
atari_alien,dreamerv2,atari_alien_nosched_0,193000000.0,4170.0
atari_alien,dreamerv2,atari_alien_nosched_0,194000000.0,3770.0
atari_alien,dreamerv2,atari_alien_nosched_0,195000000.0,3170.0
atari_alien,dreamerv2,atari_alien_nosched_0,196000000.0,4170.0
atari_alien,dreamerv2,atari_alien_nosched_0,197000000.0,3670.0
atari_alien,dreamerv2,atari_alien_nosched_0,198000000.0,3870.0
atari_alien,dreamerv2,atari_alien_nosched_0,199000000.0,3817.0
atari_alien,dreamerv2,atari_alien_nosched_0,200000000.0,3766.0
atari_alien,dreamerv2,atari_alien_nosched_1,1000000.0,320.0
atari_alien,dreamerv2,atari_alien_nosched_1,2000000.0,829.0
atari_alien,dreamerv2,atari_alien_nosched_1,3000000.0,906.0
atari_alien,dreamerv2,atari_alien_nosched_1,4000000.0,1168.0
atari_alien,dreamerv2,atari_alien_nosched_1,5000000.0,965.0
atari_alien,dreamerv2,atari_alien_nosched_1,6000000.0,1040.0
atari_alien,dreamerv2,atari_alien_nosched_1,7000000.0,1114.0
atari_alien,dreamerv2,atari_alien_nosched_1,8000000.0,1219.0
atari_alien,dreamerv2,atari_alien_nosched_1,9000000.0,1043.0
atari_alien,dreamerv2,atari_alien_nosched_1,10000000.0,1598.0
atari_alien,dreamerv2,atari_alien_nosched_1,11000000.0,1165.0
atari_alien,dreamerv2,atari_alien_nosched_1,12000000.0,1466.0
atari_alien,dreamerv2,atari_alien_nosched_1,13000000.0,1284.0
atari_alien,dreamerv2,atari_alien_nosched_1,14000000.0,1432.0
atari_alien,dreamerv2,atari_alien_nosched_1,15000000.0,1423.0
atari_alien,dreamerv2,atari_alien_nosched_1,16000000.0,1416.0
atari_alien,dreamerv2,atari_alien_nosched_1,17000000.0,1885.0
atari_alien,dreamerv2,atari_alien_nosched_1,18000000.0,2183.0
atari_alien,dreamerv2,atari_alien_nosched_1,19000000.0,2144.0
atari_alien,dreamerv2,atari_alien_nosched_1,20000000.0,1944.0
atari_alien,dreamerv2,atari_alien_nosched_1,21000000.0,2110.0
atari_alien,dreamerv2,atari_alien_nosched_1,22000000.0,2562.0
atari_alien,dreamerv2,atari_alien_nosched_1,23000000.0,2317.0
atari_alien,dreamerv2,atari_alien_nosched_1,24000000.0,1866.0
atari_alien,dreamerv2,atari_alien_nosched_1,25000000.0,2684.0
atari_alien,dreamerv2,atari_alien_nosched_1,26000000.0,2339.0
atari_alien,dreamerv2,atari_alien_nosched_1,27000000.0,2805.0
atari_alien,dreamerv2,atari_alien_nosched_1,28000000.0,2779.0
atari_alien,dreamerv2,atari_alien_nosched_1,29000000.0,2570.0
atari_alien,dreamerv2,atari_alien_nosched_1,30000000.0,2706.0
atari_alien,dreamerv2,atari_alien_nosched_1,31000000.0,2845.0
atari_alien,dreamerv2,atari_alien_nosched_1,32000000.0,2399.0
atari_alien,dreamerv2,atari_alien_nosched_1,33000000.0,3219.0
atari_alien,dreamerv2,atari_alien_nosched_1,34000000.0,2647.0
atari_alien,dreamerv2,atari_alien_nosched_1,35000000.0,2528.0
atari_alien,dreamerv2,atari_alien_nosched_1,36000000.0,2842.0
atari_alien,dreamerv2,atari_alien_nosched_1,37000000.0,2867.0
atari_alien,dreamerv2,atari_alien_nosched_1,38000000.0,2977.0
atari_alien,dreamerv2,atari_alien_nosched_1,39000000.0,2437.0
atari_alien,dreamerv2,atari_alien_nosched_1,40000000.0,2402.0
atari_alien,dreamerv2,atari_alien_nosched_1,41000000.0,2308.0
atari_alien,dreamerv2,atari_alien_nosched_1,42000000.0,2595.0
atari_alien,dreamerv2,atari_alien_nosched_1,43000000.0,2388.0
atari_alien,dreamerv2,atari_alien_nosched_1,44000000.0,2122.0
atari_alien,dreamerv2,atari_alien_nosched_1,45000000.0,2272.0
atari_alien,dreamerv2,atari_alien_nosched_1,46000000.0,2572.0
atari_alien,dreamerv2,atari_alien_nosched_1,47000000.0,2037.0
atari_alien,dreamerv2,atari_alien_nosched_1,48000000.0,2150.0
atari_alien,dreamerv2,atari_alien_nosched_1,49000000.0,2571.0
atari_alien,dreamerv2,atari_alien_nosched_1,50000000.0,2421.6666666666665
atari_alien,dreamerv2,atari_alien_nosched_1,51000000.0,2452.0
atari_alien,dreamerv2,atari_alien_nosched_1,52000000.0,2446.0
atari_alien,dreamerv2,atari_alien_nosched_1,53000000.0,2335.0
atari_alien,dreamerv2,atari_alien_nosched_1,54000000.0,2398.0
atari_alien,dreamerv2,atari_alien_nosched_1,55000000.0,3098.0
atari_alien,dreamerv2,atari_alien_nosched_1,56000000.0,2719.0
atari_alien,dreamerv2,atari_alien_nosched_1,57000000.0,2852.0
atari_alien,dreamerv2,atari_alien_nosched_1,58000000.0,2757.0
atari_alien,dreamerv2,atari_alien_nosched_1,59000000.0,2721.0
atari_alien,dreamerv2,atari_alien_nosched_1,60000000.0,2501.0
atari_alien,dreamerv2,atari_alien_nosched_1,61000000.0,2236.0
atari_alien,dreamerv2,atari_alien_nosched_1,62000000.0,2708.0
atari_alien,dreamerv2,atari_alien_nosched_1,63000000.0,2078.0
atari_alien,dreamerv2,atari_alien_nosched_1,64000000.0,2234.0
atari_alien,dreamerv2,atari_alien_nosched_1,65000000.0,3383.0
atari_alien,dreamerv2,atari_alien_nosched_1,66000000.0,2207.0
atari_alien,dreamerv2,atari_alien_nosched_1,67000000.0,2279.0
atari_alien,dreamerv2,atari_alien_nosched_1,68000000.0,2177.0
atari_alien,dreamerv2,atari_alien_nosched_1,69000000.0,2650.0
atari_alien,dreamerv2,atari_alien_nosched_1,70000000.0,2472.0
atari_alien,dreamerv2,atari_alien_nosched_1,71000000.0,2997.0
atari_alien,dreamerv2,atari_alien_nosched_1,72000000.0,2272.0
